	mean_flush	mean_caudate	detect_flush	detect_caudate	pval	qval	Gene	Ctype	dir
CFP	0.422	0.208	0.397	0.184	4.39E-06	2.66E-04	CFP	InflamatoryMacrophages	1
TUBA1B4	0.923	0.571	0.640	0.386	4.72E-06	2.84E-04	TUBA1B	InflamatoryMacrophages	1
UBB2	0.873	0.639	0.688	0.424	4.95E-06	2.96E-04	UBB	InflamatoryMacrophages	1
CLK1	0.202	0.044	0.196	0.044	5.09E-06	3.03E-04	CLK1	InflamatoryMacrophages	1
PLP21	0.241	0.093	0.228	0.063	5.53E-06	3.28E-04	PLP2	InflamatoryMacrophages	1
TNFSF13B	0.464	0.231	0.409	0.203	5.63E-06	3.32E-04	TNFSF13B	InflamatoryMacrophages	1
KDM6B2	0.214	0.057	0.203	0.051	6.19E-06	3.63E-04	KDM6B	InflamatoryMacrophages	1
GNB2L14	2.014	1.559	0.950	0.759	6.61E-06	3.86E-04	GNB2L1	InflamatoryMacrophages	1
RPL7A4	2.430	1.870	0.963	0.747	7.18E-06	4.17E-04	RPL7A	InflamatoryMacrophages	1
TMSB103	12.879	14.992	1.000	1.000	7.77E-06	4.50E-04	TMSB10	InflamatoryMacrophages	-1
C32	0.033	0.146	0.033	0.120	7.82E-06	4.50E-04	C3	InflamatoryMacrophages	-1
CAPZB2	0.558	0.340	0.513	0.266	8.08E-06	4.61E-04	CAPZB	InflamatoryMacrophages	1
CTSS	3.128	2.547	0.953	0.766	8.06E-06	4.61E-04	CTSS	InflamatoryMacrophages	1
RP11-347P5.11	0.030	0.130	0.030	0.114	8.38E-06	4.76E-04	RP11-347P5.1	InflamatoryMacrophages	-1
RNH1	0.327	0.139	0.319	0.133	9.33E-06	5.27E-04	RNH1	InflamatoryMacrophages	1
TMEM176B1	0.621	0.385	0.530	0.297	9.40E-06	5.29E-04	TMEM176B	InflamatoryMacrophages	1
ARF13	0.319	0.141	0.302	0.120	9.78E-06	5.47E-04	ARF1	InflamatoryMacrophages	1
SGK1	0.223	0.064	0.206	0.057	1.02E-05	5.67E-04	SGK1	InflamatoryMacrophages	1
APOA22	1.826	1.502	0.919	0.652	1.04E-05	5.74E-04	APOA2	InflamatoryMacrophages	1
RPL292	2.689	2.230	0.985	0.835	1.04E-05	5.74E-04	RPL29	InflamatoryMacrophages	1
ID23	0.510	0.299	0.425	0.215	1.13E-05	6.17E-04	ID2	InflamatoryMacrophages	1
IGLC24	0.222	0.223	0.216	0.057	1.13E-05	6.17E-04	IGLC2	InflamatoryMacrophages	-1
FCN1	2.214	1.672	0.899	0.665	1.17E-05	6.38E-04	FCN1	InflamatoryMacrophages	1
PPP1CA2	0.455	0.267	0.435	0.222	1.21E-05	6.55E-04	PPP1CA	InflamatoryMacrophages	1
MXD1	0.271	0.100	0.256	0.089	1.29E-05	6.98E-04	MXD1	InflamatoryMacrophages	1
SEC61B	0.508	0.283	0.453	0.241	1.32E-05	7.04E-04	SEC61B	InflamatoryMacrophages	1
DUSP6	0.110	0.323	0.110	0.241	1.32E-05	7.04E-04	DUSP6	InflamatoryMacrophages	-1
APRT	0.392	0.211	0.375	0.190	1.32E-05	7.04E-04	APRT	InflamatoryMacrophages	1
TALDO1	0.396	0.229	0.372	0.177	1.43E-05	7.58E-04	TALDO1	InflamatoryMacrophages	1
NFE2L22	0.323	0.137	0.299	0.127	1.44E-05	7.58E-04	NFE2L2	InflamatoryMacrophages	1
SAP181	0.327	0.172	0.317	0.133	1.52E-05	7.99E-04	SAP18	InflamatoryMacrophages	1
DST3	0.018	0.102	0.017	0.082	1.58E-05	8.24E-04	DST	InflamatoryMacrophages	-1
TXN1	0.494	0.303	0.445	0.209	1.61E-05	8.37E-04	TXN	InflamatoryMacrophages	1
TCF4	0.126	0.340	0.125	0.253	1.71E-05	8.84E-04	TCF4	InflamatoryMacrophages	-1
CFB	0.012	0.084	0.012	0.070	1.84E-05	9.49E-04	CFB	InflamatoryMacrophages	-1
WSB1	0.423	0.247	0.399	0.203	1.96E-05	1.01E-03	WSB1	InflamatoryMacrophages	1
ABRACL1	0.412	0.239	0.395	0.196	2.11E-05	1.08E-03	ABRACL	InflamatoryMacrophages	1
PROX1	0.002	0.049	0.002	0.038	2.13E-05	1.08E-03	PROX1	InflamatoryMacrophages	-1
PSMB11	0.327	0.154	0.316	0.127	2.24E-05	1.13E-03	PSMB1	InflamatoryMacrophages	1
ZFAND52	0.430	0.245	0.405	0.203	2.37E-05	1.19E-03	ZFAND5	InflamatoryMacrophages	1
JUND1	0.535	0.322	0.462	0.247	2.60E-05	1.30E-03	JUND	InflamatoryMacrophages	1
VCAN	1.102	0.792	0.538	0.310	2.64E-05	1.32E-03	VCAN	InflamatoryMacrophages	1
CTSB	1.369	1.081	0.799	0.582	2.65E-05	1.32E-03	CTSB	InflamatoryMacrophages	1
LTA4H	0.767	0.569	0.611	0.380	2.70E-05	1.34E-03	LTA4H	InflamatoryMacrophages	1
PTP4A21	0.604	0.394	0.522	0.297	2.86E-05	1.41E-03	PTP4A2	InflamatoryMacrophages	1
RPL192	5.005	4.123	1.000	0.892	2.95E-05	1.45E-03	RPL19	InflamatoryMacrophages	1
RTN42	0.526	0.344	0.488	0.278	2.99E-05	1.47E-03	RTN4	InflamatoryMacrophages	1
RPS33	3.402	2.764	0.992	0.861	3.02E-05	1.47E-03	RPS3	InflamatoryMacrophages	1
CD992	0.303	0.139	0.291	0.127	3.06E-05	1.49E-03	CD99	InflamatoryMacrophages	1
RPS272	8.855	10.417	1.000	0.968	3.13E-05	1.52E-03	RPS27	InflamatoryMacrophages	-1
GLYCTK	0.010	0.079	0.010	0.063	3.19E-05	1.54E-03	GLYCTK	InflamatoryMacrophages	-1
SLC5A3	0.116	0.012	0.115	0.006	3.29E-05	1.58E-03	SLC5A3	InflamatoryMacrophages	1
RPS63	4.565	3.899	0.998	0.930	3.43E-05	1.64E-03	RPS6	InflamatoryMacrophages	1
TPP1	0.329	0.184	0.324	0.152	3.58E-05	1.70E-03	TPP1	InflamatoryMacrophages	1
RPL412	9.282	10.436	1.000	1.000	3.66E-05	1.74E-03	RPL41	InflamatoryMacrophages	-1
KLF4	0.236	0.083	0.221	0.076	3.72E-05	1.76E-03	KLF4	InflamatoryMacrophages	1
SRSF53	0.384	0.219	0.362	0.190	3.75E-05	1.76E-03	SRSF5	InflamatoryMacrophages	1
ZNF3313	0.166	0.046	0.161	0.032	3.75E-05	1.76E-03	ZNF331	InflamatoryMacrophages	1
CCNL1	0.313	0.146	0.294	0.127	3.81E-05	1.78E-03	CCNL1	InflamatoryMacrophages	1
HSPD12	0.208	0.060	0.194	0.057	3.93E-05	1.83E-03	HSPD1	InflamatoryMacrophages	1
GDI21	0.379	0.222	0.369	0.177	4.03E-05	1.86E-03	GDI2	InflamatoryMacrophages	1
PLBD1	0.185	0.060	0.179	0.044	4.08E-05	1.88E-03	PLBD1	InflamatoryMacrophages	1
FGL13	0.478	0.285	0.407	0.203	4.23E-05	1.94E-03	FGL1	InflamatoryMacrophages	1
C20orf24	0.279	0.149	0.271	0.101	4.32E-05	1.98E-03	C20orf24	InflamatoryMacrophages	1
HERPUD13	0.269	0.121	0.261	0.101	4.38E-05	2.00E-03	HERPUD1	InflamatoryMacrophages	1
ATP5E3	3.733	4.713	0.998	0.968	4.59E-05	2.09E-03	ATP5E	InflamatoryMacrophages	-1
MAP1LC3B1	0.251	0.121	0.244	0.089	4.73E-05	2.14E-03	MAP1LC3B	InflamatoryMacrophages	1
CKLF	0.323	0.168	0.306	0.139	4.83E-05	2.18E-03	CKLF	InflamatoryMacrophages	1
APOB3	0.013	0.091	0.013	0.070	4.87E-05	2.19E-03	APOB	InflamatoryMacrophages	-1
RPS143	5.967	5.171	1.000	0.968	4.95E-05	2.22E-03	RPS14	InflamatoryMacrophages	1
CCDC109B1	0.160	0.033	0.156	0.032	4.99E-05	2.22E-03	CCDC109B	InflamatoryMacrophages	1
PGAM12	0.362	0.185	0.337	0.165	5.07E-05	2.25E-03	PGAM1	InflamatoryMacrophages	1
EIF3G1	0.334	0.164	0.326	0.158	5.25E-05	2.32E-03	EIF3G	InflamatoryMacrophages	1
SLC25A63	1.395	1.064	0.860	0.627	5.28E-05	2.33E-03	SLC25A6	InflamatoryMacrophages	1
ATP6V0E1	0.650	0.454	0.566	0.323	5.32E-05	2.34E-03	ATP6V0E1	InflamatoryMacrophages	1
PLAC8	0.783	0.527	0.560	0.361	5.72E-05	2.50E-03	PLAC8	InflamatoryMacrophages	1
B2M2	14.512	12.759	1.000	0.994	5.85E-05	2.55E-03	B2M	InflamatoryMacrophages	1
SERP11	0.800	0.571	0.676	0.456	5.87E-05	2.55E-03	SERP1	InflamatoryMacrophages	1
ATF3	0.124	0.014	0.121	0.013	6.00E-05	2.60E-03	ATF3	InflamatoryMacrophages	1
PPIB2	0.335	0.177	0.317	0.139	6.06E-05	2.61E-03	PPIB	InflamatoryMacrophages	1
PFKFB3	0.155	0.031	0.146	0.032	6.28E-05	2.70E-03	PFKFB3	InflamatoryMacrophages	1
SH3BGRL1	0.412	0.242	0.390	0.203	6.32E-05	2.71E-03	SH3BGRL	InflamatoryMacrophages	1
ATP5F11	0.366	0.221	0.352	0.171	6.65E-05	2.84E-03	ATP5F1	InflamatoryMacrophages	1
RNASET2	0.455	0.256	0.414	0.222	6.98E-05	2.97E-03	RNASET2	InflamatoryMacrophages	1
PPIF	0.161	0.039	0.161	0.038	7.05E-05	2.99E-03	PPIF	InflamatoryMacrophages	1
TPM31	0.703	0.553	0.606	0.380	7.29E-05	3.08E-03	TPM3	InflamatoryMacrophages	1
S100A82	11.466	12.493	0.789	0.595	7.40E-05	3.10E-03	S100A8	InflamatoryMacrophages	-1
BOD1L1	0.040	0.132	0.040	0.120	7.37E-05	3.10E-03	BOD1L1	InflamatoryMacrophages	-1
JUN3	0.218	0.084	0.193	0.057	7.75E-05	3.24E-03	JUN	InflamatoryMacrophages	1
ARHGDIB4	1.026	0.792	0.772	0.500	7.82E-05	3.25E-03	ARHGDIB	InflamatoryMacrophages	1
PSMB31	0.339	0.176	0.322	0.152	7.96E-05	3.30E-03	PSMB3	InflamatoryMacrophages	1
ARPC1B1	1.341	1.064	0.867	0.677	8.12E-05	3.36E-03	ARPC1B	InflamatoryMacrophages	1
RILPL2	0.168	0.044	0.166	0.044	8.77E-05	3.61E-03	RILPL2	InflamatoryMacrophages	1
RPS4X3	4.196	3.475	0.998	0.892	8.87E-05	3.64E-03	RPS4X	InflamatoryMacrophages	1
SLIRP	0.243	0.519	0.241	0.361	9.12E-05	3.73E-03	SLIRP	InflamatoryMacrophages	-1
LINC01370	0.000	0.033	0.000	0.025	9.23E-05	3.75E-03	LINC01370	InflamatoryMacrophages	-1
AXL	0.000	0.033	0.000	0.025	9.23E-05	3.75E-03	AXL	InflamatoryMacrophages	-1
FKBP81	0.280	0.126	0.277	0.127	9.95E-05	4.03E-03	FKBP8	InflamatoryMacrophages	1
NPM14	0.570	0.377	0.503	0.310	1.04E-04	4.19E-03	NPM1	InflamatoryMacrophages	1
C5AR1	0.314	0.157	0.291	0.127	1.06E-04	4.25E-03	C5AR1	InflamatoryMacrophages	1
UBE2D33	0.567	0.432	0.525	0.304	1.11E-04	4.46E-03	UBE2D3	InflamatoryMacrophages	1
ATP6V1G11	0.475	0.306	0.445	0.253	1.12E-04	4.48E-03	ATP6V1G1	InflamatoryMacrophages	1
ATP5D1	0.588	0.424	0.528	0.316	1.12E-04	4.48E-03	ATP5D	InflamatoryMacrophages	1
ALDH21	0.236	0.117	0.233	0.082	1.25E-04	4.96E-03	ALDH2	InflamatoryMacrophages	1
EIF4A23	0.234	0.106	0.231	0.089	1.26E-04	4.97E-03	EIF4A2	InflamatoryMacrophages	1
S100A12	1.193	0.887	0.420	0.234	1.32E-04	5.22E-03	S100A12	InflamatoryMacrophages	1
TMBIM61	0.602	0.448	0.523	0.323	1.39E-04	5.44E-03	TMBIM6	InflamatoryMacrophages	1
ERAP2	0.003	0.044	0.003	0.038	1.40E-04	5.47E-03	ERAP2	InflamatoryMacrophages	-1
CSTA	0.893	0.656	0.656	0.443	1.42E-04	5.55E-03	CSTA	InflamatoryMacrophages	1
C15orf48	0.153	0.028	0.123	0.019	1.43E-04	5.55E-03	C15orf48	InflamatoryMacrophages	1
CCNI2	0.630	0.446	0.550	0.329	1.47E-04	5.69E-03	CCNI	InflamatoryMacrophages	1
METTL9	0.248	0.111	0.234	0.095	1.47E-04	5.69E-03	METTL9	InflamatoryMacrophages	1
ITGA12	0.002	0.042	0.002	0.032	1.49E-04	5.73E-03	ITGA1	InflamatoryMacrophages	-1
BTG22	0.164	0.046	0.163	0.044	1.58E-04	6.05E-03	BTG2	InflamatoryMacrophages	1
NAP1L11	0.870	0.634	0.615	0.392	1.66E-04	6.36E-03	NAP1L1	InflamatoryMacrophages	1
SARAF4	0.364	0.205	0.350	0.177	1.69E-04	6.45E-03	SARAF	InflamatoryMacrophages	1
CHD1	0.185	0.063	0.183	0.063	1.71E-04	6.49E-03	CHD1	InflamatoryMacrophages	1
GLUL1	0.708	0.552	0.558	0.348	1.72E-04	6.52E-03	GLUL	InflamatoryMacrophages	1
EIF3K	0.802	0.634	0.679	0.475	1.73E-04	6.52E-03	EIF3K	InflamatoryMacrophages	1
COX5B	0.655	0.508	0.590	0.367	1.74E-04	6.54E-03	COX5B	InflamatoryMacrophages	1
TRA2B	0.341	0.205	0.319	0.165	1.82E-04	6.82E-03	TRA2B	InflamatoryMacrophages	1
IGHG32	0.151	0.000	0.083	0.000	1.82E-04	6.83E-03	IGHG3	InflamatoryMacrophages	1
CFD	0.675	0.498	0.520	0.316	1.96E-04	7.31E-03	CFD	InflamatoryMacrophages	1
PGK11	0.522	0.363	0.478	0.272	2.05E-04	7.62E-03	PGK1	InflamatoryMacrophages	1
XRCC51	0.163	0.049	0.158	0.044	2.08E-04	7.71E-03	XRCC5	InflamatoryMacrophages	1
CYCS4	0.257	0.124	0.244	0.101	2.12E-04	7.83E-03	CYCS	InflamatoryMacrophages	1
NDUFC1	0.116	0.273	0.115	0.222	2.15E-04	7.91E-03	NDUFC1	InflamatoryMacrophages	-1
NFKBIZ1	0.340	0.196	0.314	0.152	2.17E-04	7.97E-03	NFKBIZ	InflamatoryMacrophages	1
FGA1	0.234	0.509	0.214	0.335	2.25E-04	8.22E-03	FGA	InflamatoryMacrophages	-1
CSNK2B	0.261	0.141	0.254	0.108	2.31E-04	8.42E-03	CSNK2B	InflamatoryMacrophages	1
PLIN52	0.008	0.069	0.008	0.051	2.36E-04	8.57E-03	PLIN5	InflamatoryMacrophages	-1
SLC2A31	0.256	0.136	0.241	0.095	2.42E-04	8.78E-03	SLC2A3	InflamatoryMacrophages	1
HSPA1B	0.096	0.006	0.093	0.006	2.47E-04	8.91E-03	HSPA1B	InflamatoryMacrophages	1
EIF5B3	0.113	0.306	0.110	0.209	2.48E-04	8.93E-03	EIF5B	InflamatoryMacrophages	-1
GPBP11	0.143	0.042	0.138	0.032	2.57E-04	9.17E-03	GPBP1	InflamatoryMacrophages	1
CAMLG	0.135	0.032	0.135	0.032	2.58E-04	9.17E-03	CAMLG	InflamatoryMacrophages	1
SLC39A142	0.008	0.057	0.008	0.051	2.56E-04	9.17E-03	SLC39A14	InflamatoryMacrophages	-1
CALCOCO1	0.008	0.060	0.008	0.051	2.58E-04	9.17E-03	CALCOCO1	InflamatoryMacrophages	-1
EEF24	0.835	0.638	0.689	0.456	2.57E-04	9.17E-03	EEF2	InflamatoryMacrophages	1
RPL82	2.715	2.330	0.983	0.873	2.68E-04	9.48E-03	RPL8	InflamatoryMacrophages	1
RGS13	0.213	0.064	0.158	0.044	2.83E-04	9.99E-03	RGS1	InflamatoryMacrophages	1
MYL61	2.087	1.851	0.957	0.804	2.89E-04	1.02E-02	MYL6	InflamatoryMacrophages	1
HNRNPC1	0.360	0.231	0.350	0.190	2.90E-04	1.02E-02	HNRNPC	InflamatoryMacrophages	1
PPT1	0.343	0.205	0.327	0.165	2.95E-04	1.03E-02	PPT1	InflamatoryMacrophages	1
CEPT1	0.023	0.099	0.023	0.082	2.95E-04	1.03E-02	CEPT1	InflamatoryMacrophages	-1
HSPA91	0.125	0.025	0.125	0.025	2.96E-04	1.03E-02	HSPA9	InflamatoryMacrophages	1
YWHAB	0.636	0.456	0.570	0.348	2.94E-04	1.03E-02	YWHAB	InflamatoryMacrophages	1
FTH13	16.200	13.084	0.998	0.962	3.04E-04	1.05E-02	FTH1	InflamatoryMacrophages	1
SNRPE	0.251	0.116	0.244	0.108	3.09E-04	1.07E-02	SNRPE	InflamatoryMacrophages	1
LINC01420	0.091	0.006	0.090	0.006	3.12E-04	1.07E-02	LINC01420	InflamatoryMacrophages	1
TCEB1	0.196	0.091	0.193	0.070	3.18E-04	1.09E-02	TCEB1	InflamatoryMacrophages	1
GNB1	0.227	0.105	0.224	0.095	3.21E-04	1.10E-02	GNB1	InflamatoryMacrophages	1
RPL242	1.987	1.667	0.970	0.791	3.25E-04	1.11E-02	RPL24	InflamatoryMacrophages	1
PDE4B	0.115	0.019	0.111	0.019	3.34E-04	1.13E-02	PDE4B	InflamatoryMacrophages	1
ENO14	0.718	0.531	0.573	0.367	3.49E-04	1.18E-02	ENO1	InflamatoryMacrophages	1
CD371	0.509	0.374	0.447	0.266	3.80E-04	1.28E-02	CD37	InflamatoryMacrophages	1
PYCARD	0.738	0.575	0.633	0.430	3.88E-04	1.31E-02	PYCARD	InflamatoryMacrophages	1
SHC23	0.007	0.053	0.007	0.044	3.92E-04	1.32E-02	SHC2	InflamatoryMacrophages	-1
DAD11	0.201	0.080	0.199	0.076	3.98E-04	1.33E-02	DAD1	InflamatoryMacrophages	1
RPS82	4.562	5.577	0.997	0.975	4.07E-04	1.35E-02	RPS8	InflamatoryMacrophages	-1
SLC43A1	0.007	0.052	0.007	0.044	4.06E-04	1.35E-02	SLC43A1	InflamatoryMacrophages	-1
THBS1	0.165	0.053	0.143	0.038	4.05E-04	1.35E-02	THBS1	InflamatoryMacrophages	1
RSRC2	0.136	0.034	0.135	0.032	4.13E-04	1.37E-02	RSRC2	InflamatoryMacrophages	1
AGTRAP	0.216	0.110	0.208	0.082	4.15E-04	1.37E-02	AGTRAP	InflamatoryMacrophages	1
CLTB	0.201	0.083	0.199	0.076	4.19E-04	1.38E-02	CLTB	InflamatoryMacrophages	1
SEC11A	0.425	0.285	0.409	0.234	4.25E-04	1.40E-02	SEC11A	InflamatoryMacrophages	1
TWF2	0.199	0.078	0.198	0.076	4.29E-04	1.40E-02	TWF2	InflamatoryMacrophages	1
RPL122	4.276	4.922	0.998	0.924	4.30E-04	1.40E-02	RPL12	InflamatoryMacrophages	-1
YWHAQ3	0.153	0.051	0.150	0.044	4.50E-04	1.46E-02	YWHAQ	InflamatoryMacrophages	1
HLA-DRA	6.446	5.035	0.924	0.842	4.51E-04	1.46E-02	HLA-DRA	InflamatoryMacrophages	1
SRI	0.200	0.082	0.198	0.076	4.60E-04	1.49E-02	SRI	InflamatoryMacrophages	1
SERPINB11	0.506	0.327	0.429	0.253	4.77E-04	1.54E-02	SERPINB1	InflamatoryMacrophages	1
RASGEF1B	0.135	0.033	0.128	0.032	4.95E-04	1.59E-02	RASGEF1B	InflamatoryMacrophages	1
SPCS12	0.311	0.191	0.296	0.152	4.99E-04	1.61E-02	SPCS1	InflamatoryMacrophages	1
RPL22L1	0.244	0.126	0.236	0.101	5.14E-04	1.65E-02	RPL22L1	InflamatoryMacrophages	1
PRDM1	0.131	0.027	0.118	0.025	5.19E-04	1.66E-02	PRDM1	InflamatoryMacrophages	1
HSPA53	0.151	0.068	0.151	0.044	5.36E-04	1.71E-02	HSPA5	InflamatoryMacrophages	1
TMEM219	0.281	0.171	0.279	0.139	5.74E-04	1.83E-02	TMEM219	InflamatoryMacrophages	1
UBE2B1	0.208	0.106	0.203	0.082	5.78E-04	1.83E-02	UBE2B	InflamatoryMacrophages	1
CORO1B	0.156	0.052	0.153	0.051	5.90E-04	1.87E-02	CORO1B	InflamatoryMacrophages	1
ATP5O1	0.436	0.351	0.419	0.228	6.36E-04	2.01E-02	ATP5O	InflamatoryMacrophages	1
ZC3H12A1	0.070	0.000	0.070	0.000	6.47E-04	2.03E-02	ZC3H12A	InflamatoryMacrophages	1
ANXA13	0.420	0.284	0.370	0.209	6.57E-04	2.06E-02	ANXA1	InflamatoryMacrophages	1
ATP6V0D1	0.301	0.202	0.291	0.146	6.66E-04	2.08E-02	ATP6V0D1	InflamatoryMacrophages	1
HSPB1	0.299	0.220	0.264	0.127	6.88E-04	2.15E-02	HSPB1	InflamatoryMacrophages	1
JTB1	0.299	0.184	0.294	0.152	6.99E-04	2.15E-02	JTB	InflamatoryMacrophages	1
MSH6	0.000	0.023	0.000	0.019	7.16E-04	2.15E-02	MSH6	InflamatoryMacrophages	-1
EXOC6B	0.000	0.019	0.000	0.019	7.16E-04	2.15E-02	EXOC6B	InflamatoryMacrophages	-1
PKP4	0.000	0.019	0.000	0.019	7.16E-04	2.15E-02	PKP4	InflamatoryMacrophages	-1
LRRFIP1	0.508	0.363	0.472	0.278	7.01E-04	2.15E-02	LRRFIP1	InflamatoryMacrophages	1
HES1	0.143	0.051	0.130	0.032	7.00E-04	2.15E-02	HES1	InflamatoryMacrophages	1
FGFR3	0.000	0.019	0.000	0.019	7.16E-04	2.15E-02	FGFR3	InflamatoryMacrophages	-1
HIST1H1B1	0.000	0.022	0.000	0.019	7.16E-04	2.15E-02	HIST1H1B	InflamatoryMacrophages	-1
TRIM15	0.000	0.026	0.000	0.019	7.16E-04	2.15E-02	TRIM15	InflamatoryMacrophages	-1
TRMT11	0.000	0.020	0.000	0.019	7.16E-04	2.15E-02	TRMT11	InflamatoryMacrophages	-1
C9orf66	0.000	0.023	0.000	0.019	7.16E-04	2.15E-02	C9orf66	InflamatoryMacrophages	-1
RNASE2	0.347	0.197	0.251	0.114	7.13E-04	2.15E-02	RNASE2	InflamatoryMacrophages	1
CCL3L3	0.125	0.015	0.093	0.013	7.16E-04	2.15E-02	CCL3L3	InflamatoryMacrophages	1
SUMO23	0.690	0.513	0.618	0.418	7.02E-04	2.15E-02	SUMO2	InflamatoryMacrophages	1
MGAT1	0.321	0.181	0.314	0.158	7.29E-04	2.18E-02	MGAT1	InflamatoryMacrophages	1
FTL4	40.181	64.016	1.000	1.000	7.28E-04	2.18E-02	FTL	InflamatoryMacrophages	-1
ATP5B3	0.386	0.244	0.369	0.209	7.32E-04	2.18E-02	ATP5B	InflamatoryMacrophages	1
FUS2	0.288	0.158	0.286	0.152	7.33E-04	2.18E-02	FUS	InflamatoryMacrophages	1
CCR1	0.078	0.176	0.076	0.165	7.41E-04	2.19E-02	CCR1	InflamatoryMacrophages	-1
C14orf166	0.228	0.113	0.224	0.095	7.39E-04	2.19E-02	C14orf166	InflamatoryMacrophages	1
EIF4A12	0.188	0.073	0.186	0.070	7.38E-04	2.19E-02	EIF4A1	InflamatoryMacrophages	1
HLA-DPA11	2.824	2.244	0.743	0.620	7.49E-04	2.21E-02	HLA-DPA1	InflamatoryMacrophages	1
IFI30	0.462	0.332	0.405	0.247	7.60E-04	2.24E-02	IFI30	InflamatoryMacrophages	1
CALR3	0.426	0.302	0.384	0.215	7.63E-04	2.24E-02	CALR	InflamatoryMacrophages	1
PGLS	0.429	0.288	0.405	0.241	7.77E-04	2.28E-02	PGLS	InflamatoryMacrophages	1
RXRA	0.253	0.138	0.241	0.108	7.93E-04	2.32E-02	RXRA	InflamatoryMacrophages	1
RNF130	0.374	0.217	0.359	0.203	8.04E-04	2.34E-02	RNF130	InflamatoryMacrophages	1
ARL5B	0.095	0.013	0.091	0.013	8.30E-04	2.41E-02	ARL5B	InflamatoryMacrophages	1
IER23	0.289	0.183	0.286	0.146	8.31E-04	2.41E-02	IER2	InflamatoryMacrophages	1
ATP5C1	0.294	0.186	0.291	0.146	8.52E-04	2.46E-02	ATP5C1	InflamatoryMacrophages	1
UBE2G2	0.033	0.115	0.033	0.095	8.52E-04	2.46E-02	UBE2G2	InflamatoryMacrophages	-1
FKBP1A	0.746	0.576	0.640	0.443	8.63E-04	2.48E-02	FKBP1A	InflamatoryMacrophages	1
AKAP1	0.003	0.040	0.003	0.032	8.98E-04	2.58E-02	AKAP1	InflamatoryMacrophages	-1
TMIGD31	0.003	0.050	0.003	0.032	9.14E-04	2.62E-02	TMIGD3	InflamatoryMacrophages	-1
CMPK11	0.113	0.029	0.111	0.025	9.20E-04	2.62E-02	CMPK1	InflamatoryMacrophages	1
MTCH11	0.165	0.061	0.164	0.057	9.19E-04	2.62E-02	MTCH1	InflamatoryMacrophages	1
TCP12	0.123	0.037	0.123	0.032	9.40E-04	2.67E-02	TCP1	InflamatoryMacrophages	1
ITM2B4	1.258	1.036	0.832	0.601	9.76E-04	2.77E-02	ITM2B	InflamatoryMacrophages	1
LINC00969	0.017	0.064	0.017	0.063	9.89E-04	2.80E-02	LINC00969	InflamatoryMacrophages	-1
PPIA1	1.146	0.950	0.817	0.551	1.00E-03	2.83E-02	PPIA	InflamatoryMacrophages	1
CHP1	0.244	0.138	0.241	0.108	1.03E-03	2.89E-02	CHP1	InflamatoryMacrophages	1
POLR2A	0.066	0.000	0.065	0.000	1.04E-03	2.91E-02	POLR2A	InflamatoryMacrophages	1
UGT2B151	0.002	0.055	0.002	0.025	1.05E-03	2.94E-02	UGT2B15	InflamatoryMacrophages	-1
TUBGCP5	0.002	0.029	0.002	0.025	1.05E-03	2.94E-02	TUBGCP5	InflamatoryMacrophages	-1
NAPA-AS1	0.002	0.034	0.002	0.025	1.05E-03	2.94E-02	NAPA-AS1	InflamatoryMacrophages	-1
FAM220A	0.002	0.025	0.002	0.025	1.06E-03	2.95E-02	FAM220A	InflamatoryMacrophages	-1
CFHR3	0.002	0.033	0.002	0.025	1.07E-03	2.96E-02	CFHR3	InflamatoryMacrophages	-1
MST1	0.002	0.031	0.002	0.025	1.08E-03	2.98E-02	MST1	InflamatoryMacrophages	-1
CAPRIN2	0.002	0.029	0.002	0.025	1.08E-03	2.98E-02	CAPRIN2	InflamatoryMacrophages	-1
SLC38A2	0.173	0.072	0.168	0.063	1.08E-03	2.98E-02	SLC38A2	InflamatoryMacrophages	1
C8orf59	0.234	0.115	0.223	0.108	1.10E-03	3.02E-02	C8orf59	InflamatoryMacrophages	1
YBX3	0.211	0.101	0.208	0.095	1.10E-03	3.02E-02	YBX3	InflamatoryMacrophages	1
NUCB11	0.223	0.122	0.219	0.101	1.10E-03	3.02E-02	NUCB1	InflamatoryMacrophages	1
UBE2R2	0.243	0.126	0.236	0.114	1.11E-03	3.02E-02	UBE2R2	InflamatoryMacrophages	1
EIF54	0.289	0.157	0.282	0.152	1.12E-03	3.05E-02	EIF5	InflamatoryMacrophages	1
YME1L1	0.165	0.067	0.161	0.057	1.15E-03	3.13E-02	YME1L1	InflamatoryMacrophages	1
RAC1	0.971	0.779	0.739	0.506	1.15E-03	3.13E-02	RAC1	InflamatoryMacrophages	1
C1QBP1	0.153	0.066	0.151	0.051	1.16E-03	3.14E-02	C1QBP	InflamatoryMacrophages	1
PTMA1	4.689	4.386	1.000	0.981	1.17E-03	3.16E-02	PTMA	InflamatoryMacrophages	1
EMC31	0.090	0.023	0.090	0.013	1.18E-03	3.16E-02	EMC3	InflamatoryMacrophages	1
HIGD2A	0.495	0.335	0.458	0.291	1.18E-03	3.16E-02	HIGD2A	InflamatoryMacrophages	1
TNNT1	0.185	0.082	0.174	0.070	1.18E-03	3.16E-02	TNNT1	InflamatoryMacrophages	1
PTCH21	0.008	0.054	0.008	0.044	1.22E-03	3.26E-02	PTCH2	InflamatoryMacrophages	-1
